rewFunc,trial,run,points,magnitude,score,prob,ev,rt,emotion
IEV,163,5,1479.3602,31,0,0.82022,25.1353,1538,happy
IEV,164,5,1487.2372,50,0,0.69615,35.1063,2400,happy
IEV,165,5,1493.8335,44,44,0.75635,33.3675,2027,happy
IEV,166,5,1501.2431,40,40,0.7798,31.3917,1863,happy
IEV,167,5,1508.212,49,49,0.70063,34.0742,2374,happy
IEV,168,5,1515.227,65,65,0.65418,42.6388,2634,happy
IEV,169,5,1523.435,77,0,0.55365,42.5135,3148,happy
IEV,170,5,1531.2347,115,0,0.45228,51.9074,3637,happy
IEV,171,5,1538.8612,127,127,0.4006,50.9514,3885,happy
IEV,172,5,1547.6632,126,0,0.40973,51.8092,3841,happy
IEV,173,5,1556.6215,117,0,0.42514,49.935,3767,happy
IEV,174,5,1564.3915,138,138,0.38406,53.1398,3965,happy
IEV,175,5,1571.7699,124,0,0.40724,50.6822,3853,happy
IEV,176,5,1579.8579,135,135,0.38901,52.5781,3941,happy
IEV,177,5,1588.4675,142,142,0.37706,53.3797,3999,happy
IEV,178,5,1595.8626,139,0,0.37891,52.5589,3990,happy
IEV,179,5,1603.9118,130,130,0.39563,51.5459,3909,happy
IEV,180,5,1613.1472,138,138,0.38509,53.104,3960,happy
IEV,181,5,1621.5917,136,0,0.39356,53.5936,3919,happy
IEV,182,5,1629.6106,131,131,0.40247,52.8885,3876,happy
IEV,183,5,1637.781,136,136,0.38963,52.9454,3938,happy
IEV,184,5,1645.9575,141,0,0.38489,54.2658,3961,happy
IEV,185,5,1654.2097,138,138,0.39046,53.6972,3934,happy
IEV,186,5,1662.5376,136,136,0.38881,52.9744,3942,happy
IEV,187,5,1670.4333,124,124,0.41431,51.2195,3819,happy
IEV,188,5,1677.3764,130,130,0.39397,51.2159,3917,happy
IEV,189,5,1685.6949,128,128,0.40454,51.6012,3866,happy
IEV,190,5,1694.7246,138,0,0.38509,53.104,3960,happy
IEV,191,5,1701.9875,138,0,0.38695,53.4263,3951,happy
IEV,192,5,1709.981,140,140,0.37953,53.2956,3987,happy
IEV,193,5,1718.4322,129,129,0.39294,50.8638,3922,happy
IEV,194,5,1725.7438,141,0,0.37624,53.0314,4003,happy
IEV,195,5,1734.3062,126,0,0.40786,51.4724,3850,happy
IEV,196,5,1742.2787,136,0,0.39232,53.2429,3925,happy
IEV,197,5,1751.8362,134,134,0.3917,52.4808,3928,happy
IEV,198,5,1760.9715,125,0,0.40288,50.4565,3874,happy
IEV,199,5,1770.7083,130,0,0.40911,53.0603,3844,happy
